,SPS1,SPS2,SPS3,SPS4,SPS5,SPS6,SPS7,Pid
C539_D1_G3_D1,0.385,0.16,0.044000000000000004,0.166,0.07,0.095,0.081,C539
C539_D1_G4_D1,0.242,0.203,0.0,0.231,0.08800000000000001,0.113,0.12300000000000001,C539
C539_D1_G8_D1,0.36,0.149,0.043,0.175,0.07400000000000001,0.111,0.087,C539
C539_D1_G9_D1,0.354,0.156,0.063,0.168,0.076,0.113,0.07,C539
C542_A1_G1_D1,0.652,0.128,0.075,0.053,0.011000000000000001,0.068,0.013000000000000001,C542
C542_A1_G4_D1,0.65,0.13,0.08800000000000001,0.048,0.008,0.063,0.012,C542
C542_B1_G1_D1,0.733,0.11599999999999999,0.047,0.037000000000000005,0.008,0.052000000000000005,0.006999999999999999,C542
C542_B1_G6_D1,0.742,0.109,0.045,0.032,0.008,0.045,0.02,C542
C542_B1_G7_D1,0.655,0.132,0.094,0.045,0.013999999999999999,0.051,0.009000000000000001,C542
C542_C1_G2_D1,0.579,0.183,0.111,0.051,0.017,0.036000000000000004,0.024,C542
C542_C1_G5_D1,0.583,0.17600000000000002,0.115,0.053,0.018000000000000002,0.031,0.024,C542
C542_C1_G7_D1,0.589,0.183,0.10800000000000001,0.057,0.017,0.03,0.015,C542
C542_D1_G3_D1,0.7020000000000001,0.10800000000000001,0.069,0.043,0.004,0.063,0.011000000000000001,C542
C543_A1_G1_D1,0.604,0.087,0.0,0.10800000000000001,0.013000000000000001,0.094,0.09300000000000001,C543
C543_A1_G7_D1,0.606,0.077,0.0,0.115,0.013000000000000001,0.094,0.096,C543
C543_B1_G1_D1,0.618,0.078,0.0,0.10400000000000001,0.013000000000000001,0.106,0.08199999999999999,C543
C543_B1_G10_D1,0.621,0.075,0.0,0.102,0.01,0.107,0.085,C543
C543_B1_G2_D1,0.609,0.077,0.0,0.1,0.017,0.10400000000000001,0.094,C543
C543_B1_G5_D1,0.62,0.075,0.0,0.10099999999999999,0.011000000000000001,0.106,0.086,C543
C544_A1_G1_D1,0.49,0.128,0.188,0.0,0.011000000000000001,0.044000000000000004,0.138,C544
C544_A1_G4_D1,0.495,0.14,0.168,0.0,0.006999999999999999,0.043,0.147,C544
C544_A1_G8_D1,0.491,0.126,0.191,0.0,0.01,0.043,0.14,C544
C544_C1_G10_D1,0.489,0.132,0.182,0.005,0.006,0.051,0.136,C544
C544_D1_G3_D1,0.479,0.151,0.20600000000000002,0.0,0.004,0.013999999999999999,0.146,C544
C544_D1_G8_D1,0.54,0.081,0.153,0.0,0.0,0.04,0.187,C544
C547_A4_L1_D1,0.366,0.09,0.008,0.38299999999999995,0.0,0.09699999999999999,0.055,C547
C547_B3_L1_D1,0.59,0.063,0.0,0.128,0.0,0.10800000000000001,0.11,C547
C547_C3_L1_D1,0.47700000000000004,0.09300000000000001,0.0,0.266,0.0,0.10400000000000001,0.06,C547
C548_A1_G10_D1,0.392,0.0,0.0,0.0,0.004,0.594,0.01,C548
C548_A1_G4_D1,0.39899999999999997,0.0,0.0,0.0,0.003,0.589,0.009000000000000001,C548
